movie_title,director_name,genres,actor_1_name,actor_2_name,actor_3_name
avatar ,James Cameron,Action Adventure Fantasy Sci-Fi,CCH Pounder,Joel David Moore,Wes Studi
pirates of the caribbean: at world's end ,Gore Verbinski,Action Adventure Fantasy,Johnny Depp,Orlando Bloom,Jack Davenport
spectre ,Sam Mendes,Action Adventure Thriller,Christoph Waltz,Rory Kinnear,Stephanie Sigman
the dark knight rises ,Christopher Nolan,Action Thriller,Tom Hardy,Christian Bale,Joseph Gordon-Levitt
john carter ,Andrew Stanton,Action Adventure Sci-Fi,Daryl Sabara,Samantha Morton,Polly Walker
spider-man 3 ,Sam Raimi,Action Adventure Romance,J.K. Simmons,James Franco,Kirsten Dunst
tangled ,Nathan Greno,Adventure Animation Comedy Family Fantasy Musical Romance,Brad Garrett,Donna Murphy,M.C. Gainey
avengers: age of ultron ,Joss Whedon,Action Adventure Sci-Fi,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson
harry potter and the half-blood prince ,David Yates,Adventure Family Fantasy Mystery,Alan Rickman,Daniel Radcliffe,Rupert Grint
batman v superman: dawn of justice ,Zack Snyder,Action Adventure Sci-Fi,Henry Cavill,Lauren Cohan,Alan D. Purwin
superman returns ,Bryan Singer,Action Adventure Sci-Fi,Kevin Spacey,Marlon Brando,Frank Langella
quantum of solace ,Marc Forster,Action Adventure,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear
pirates of the caribbean: dead man's chest ,Gore Verbinski,Action Adventure Fantasy,Johnny Depp,Orlando Bloom,Jack Davenport
the lone ranger ,Gore Verbinski,Action Adventure Western,Johnny Depp,Ruth Wilson,Tom Wilkinson
man of steel ,Zack Snyder,Action Adventure Fantasy Sci-Fi,Henry Cavill,Christopher Meloni,Harry Lennix
the chronicles of narnia: prince caspian ,Andrew Adamson,Action Adventure Family Fantasy,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar
the avengers ,Joss Whedon,Action Adventure Sci-Fi,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson
pirates of the caribbean: on stranger tides ,Rob Marshall,Action Adventure Fantasy,Johnny Depp,Sam Claflin,Stephen Graham
men in black 3 ,Barry Sonnenfeld,Action Adventure Comedy Family Fantasy Sci-Fi,Will Smith,Michael Stuhlbarg,Nicole Scherzinger
the hobbit: the battle of the five armies ,Peter Jackson,Adventure Fantasy,Aidan Turner,Adam Brown,James Nesbitt
the amazing spider-man ,Marc Webb,Action Adventure Fantasy,Emma Stone,Andrew Garfield,Chris Zylka
robin hood ,Ridley Scott,Action Adventure Drama History,Mark Addy,William Hurt,Scott Grimes
the hobbit: the desolation of smaug ,Peter Jackson,Adventure Fantasy,Aidan Turner,Adam Brown,James Nesbitt
the golden compass ,Chris Weitz,Adventure Family Fantasy,Christopher Lee,Eva Green,Kristin Scott Thomas
king kong ,Peter Jackson,Action Adventure Drama Romance,Naomi Watts,Thomas Kretschmann,Evan Parke
titanic ,James Cameron,Drama Romance,Leonardo DiCaprio,Kate Winslet,Gloria Stuart
captain america: civil war ,Anthony Russo,Action Adventure Sci-Fi,Robert Downey Jr.,Scarlett Johansson,Chris Evans
battleship ,Peter Berg,Action Adventure Sci-Fi Thriller,Liam Neeson,Alexander Skarsgård,Tadanobu Asano
jurassic world ,Colin Trevorrow,Action Adventure Sci-Fi Thriller,Bryce Dallas Howard,Judy Greer,Omar Sy
skyfall ,Sam Mendes,Action Adventure Thriller,Albert Finney,Helen McCrory,Rory Kinnear
spider-man 2 ,Sam Raimi,Action Adventure Fantasy Romance,J.K. Simmons,James Franco,Kirsten Dunst
iron man 3 ,Shane Black,Action Adventure Sci-Fi,Robert Downey Jr.,Jon Favreau,Don Cheadle
