,Unnamed: 0,Unnamed: 0.1,title,director,genres,actor1,actor2,actor3,combined_text
0,0,0,avatar,James Cameron,Action Adventure Fantasy Sci-Fi,CCH Pounder,Joel David Moore,Wes Studi,James Cameron CCH Pounder Joel David Moore Wes Studi Action Adventure Fantasy Sci-Fi
1,1,1,pirates of the caribbean: at world's end,Gore Verbinski,Action Adventure Fantasy,Johnny Depp,Orlando Bloom,Jack Davenport,Gore Verbinski Johnny Depp Orlando Bloom Jack Davenport Action Adventure Fantasy
2,2,2,spectre,Sam Mendes,Action Adventure Thriller,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Sam Mendes Christoph Waltz Rory Kinnear Stephanie Sigman Action Adventure Thriller
3,3,3,the dark knight rises,Christopher Nolan,Action Thriller,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Christopher Nolan Tom Hardy Christian Bale Joseph Gordon-Levitt Action Thriller
4,4,4,john carter,Andrew Stanton,Action Adventure Sci-Fi,Daryl Sabara,Samantha Morton,Polly Walker,Andrew Stanton Daryl Sabara Samantha Morton Polly Walker Action Adventure Sci-Fi
5,5,5,spider-man 3,Sam Raimi,Action Adventure Romance,J.K. Simmons,James Franco,Kirsten Dunst,Sam Raimi J.K. Simmons James Franco Kirsten Dunst Action Adventure Romance
6,6,6,tangled,Nathan Greno,Adventure Animation Comedy Family Fantasy Musical Romance,Brad Garrett,Donna Murphy,M.C. Gainey,Nathan Greno Brad Garrett Donna Murphy M.C. Gainey Adventure Animation Comedy Family Fantasy Musical Romance
7,7,7,avengers: age of ultron,Joss Whedon,Action Adventure Sci-Fi,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Joss Whedon Chris Hemsworth Robert Downey Jr. Scarlett Johansson Action Adventure Sci-Fi
8,8,8,harry potter and the half-blood prince,David Yates,Adventure Family Fantasy Mystery,Alan Rickman,Daniel Radcliffe,Rupert Grint,David Yates Alan Rickman Daniel Radcliffe Rupert Grint Adventure Family Fantasy Mystery
9,9,9,batman v superman: dawn of justice,Zack Snyder,Action Adventure Sci-Fi,Henry Cavill,Lauren Cohan,Alan D. Purwin,Zack Snyder Henry Cavill Lauren Cohan Alan D. Purwin Action Adventure Sci-Fi
10,10,10,superman returns,Bryan Singer,Action Adventure Sci-Fi,Kevin Spacey,Marlon Brando,Frank Langella,Bryan Singer Kevin Spacey Marlon Brando Frank Langella Action Adventure Sci-Fi
11,11,11,quantum of solace,Marc Forster,Action Adventure,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Marc Forster Giancarlo Giannini Mathieu Amalric Rory Kinnear Action Adventure
12,12,12,pirates of the caribbean: dead man's chest,Gore Verbinski,Action Adventure Fantasy,Johnny Depp,Orlando Bloom,Jack Davenport,Gore Verbinski Johnny Depp Orlando Bloom Jack Davenport Action Adventure Fantasy
13,13,13,the lone ranger,Gore Verbinski,Action Adventure Western,Johnny Depp,Ruth Wilson,Tom Wilkinson,Gore Verbinski Johnny Depp Ruth Wilson Tom Wilkinson Action Adventure Western
14,14,14,man of steel,Zack Snyder,Action Adventure Fantasy Sci-Fi,Henry Cavill,Christopher Meloni,Harry Lennix,Zack Snyder Henry Cavill Christopher Meloni Harry Lennix Action Adventure Fantasy Sci-Fi
15,15,15,the chronicles of narnia: prince caspian,Andrew Adamson,Action Adventure Family Fantasy,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Andrew Adamson Peter Dinklage Pierfrancesco Favino Damián Alcázar Action Adventure Family Fantasy
16,16,16,the avengers,Joss Whedon,Action Adventure Sci-Fi,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Joss Whedon Chris Hemsworth Robert Downey Jr. Scarlett Johansson Action Adventure Sci-Fi
17,17,17,pirates of the caribbean: on stranger tides,Rob Marshall,Action Adventure Fantasy,Johnny Depp,Sam Claflin,Stephen Graham,Rob Marshall Johnny Depp Sam Claflin Stephen Graham Action Adventure Fantasy
18,18,18,men in black 3,Barry Sonnenfeld,Action Adventure Comedy Family Fantasy Sci-Fi,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Barry Sonnenfeld Will Smith Michael Stuhlbarg Nicole Scherzinger Action Adventure Comedy Family Fantasy Sci-Fi
19,19,19,the hobbit: the battle of the five armies,Peter Jackson,Adventure Fantasy,Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson Aidan Turner Adam Brown James Nesbitt Adventure Fantasy
