,title,director,actor1,actor2,actor3,genres
0,underworld: blood wars,Anna Foerster , Kate Beckinsale, Theo James, Tobias Menzies,Fantasy  Action  Horror
1,arsenal,Steven C. Miller , Adrian Grenier, Johnathon Schaech, Nicolas Cage,Action  Crime  Thriller
2,between us,Rafael Palacio Illingworth , Olivia Thirlby, Ben Feldman, Adam Goldberg,Romance  Adventure  Drama
3,monster trucks,Chris Wedge , Lucas Till, Jane Levy, Amy Ryan,Action  Comedy  Science Fiction
4,the bye bye man,Stacy Title , Douglas Smith, Doug Jones, Michael Trucco,Horror  Thriller
5,sleepless,Baran bo Odar , Jamie Foxx, T.I., Drew Sidora,Action  Crime  Thriller
6,100 streets,Jim O'Hanlon , Idris Elba, Gemma Arterton, Charlie Creed-Miles,Drama
7,the book of love,Bill Purple , Jason Sudeikis, Jessica Biel, Maisie Williams,Comedy
8,split,M. Night Shyamalan , James McAvoy, Anya Taylor-Joy, Betty Buckley,Horror  Thriller
9,xxx: return of xander cage,D. J. Caruso , Vin Diesel, Samuel L. Jackson, Donnie Yen,Action  Adventure  Crime
10,the resurrection of gavin stone,Dallas Jenkins , Brett Dalton, Anjelah Johnson, Neil Flynn,Comedy  Drama
11,trespass against us,Adam Smith , Michael Fassbender, Brendan Gleeson, Lyndsey Marshal,Drama  Crime  Action
12,sophie and the rising sun,Maggie Greenwald , Julianne Nicholson, Margo Martindale, Lorraine Toussaint,Drama
13,a dog's purpose,Lasse Hallström , Britt Robertson, Dennis Quaid, Josh Gad,Comedy  Drama  Family  Fantasy  Adventure
14,resident evil: the final chapter,Paul W. S. Anderson , Milla Jovovich, Ali Larter, Shawn Roberts,Action  Horror  Science Fiction
15,lost in florence,Evan Oppenheimer , Brett Dalton, Stana Katic, Alessandra Mastronardi,Adventure  Drama  Romance
16,i am michael,Justin Kelly , James Franco, Zachary Quinto, Emma Roberts,Drama
17,iboy,Adam Randall , Bill Milner, Maisie Williams, Miranda Richardson,Action  Crime  Science Fiction
18,rings,F. Javier Gutiérrez , Matilda Lutz, Alex Roe, Johnny Galecki,Horror
19,the space between us,Peter Chelsom , Asa Butterfield, Britt Robertson, Gary Oldman,Romance  Adventure  Science Fiction  Drama
20,youth in oregon,Joel David Moore , Frank Langella, Billy Crudup, Christina Applegate,Comedy  Drama
21,i am not your negro,Raoul Peck , Samuel L. Jackson,unknown,unknown,Documentary
22,growing up smith,Frank Lotito , Jason Lee, Anjul Nigam, Brighton Sharbino,Comedy  Family  Drama
23,the lego batman movie,Chris McKay , Will Arnett, Zach Galifianakis, Michael Cera,Family  Action  Animation  Comedy  Fantasy
24,fifty shades darker,James Foley , Dakota Johnson, Jamie Dornan, Kim Basinger,Drama  Romance
25,john wick: chapter 2,Chad Stahelski , Keanu Reeves, Common, Bridget Moynahan,Thriller  Action  Crime
26,bornless ones,Alexander Babaev , Michael Johnston, Margaret Judson, Bobby T,Horror
27,the great wall,Zhang Yimou , Matt Damon, Jing Tian, Pedro Pascal,Action  Adventure  Fantasy
28,a cure for wellness,Gore Verbinski , Dane DeHaan, Mia Goth, Jason Isaacs,Horror  Mystery  Science Fiction  Thriller
29,fist fight,Richie Keen , Ice Cube, Charlie Day, Christina Hendricks,Comedy
30,american fable,Anne Hamilton , Peyton Kennedy, Richard Schiff, Kip Pardue,Drama  Thriller
31,xx,"Jovanka Vuckovic, Annie Clark, Roxanne Benjamin, Karyn Kusama ",Jovanka Vuckovic, Annie Clark, Roxanne Benjamin,Horror
32,lovesong,So Yong Kim , Jena Malone, Riley Keough, Brooklyn Decker,Drama  Romance
33,get out,Jordan Peele , Daniel Kaluuya, Allison Williams, Catherine Keener,Mystery  Thriller  Horror
34,rock dog,Ash Brannon , Luke Wilson, Eddie Izzard, J. K. Simmons,Adventure  Animation  Comedy  Family  Music
35,collide,Eran Creevy , Nicholas Hoult, Felicity Jones, Anthony Hopkins,Thriller  Action
36,the girl with all the gifts,Colm McCarthy , Gemma Arterton, Glenn Close, Paddy Considine,Drama  Horror  Thriller  Science Fiction
37,i don't feel at home in this world anymore,Macon Blair , Melanie Lynskey, Elijah Wood, David Yow,Comedy  Crime  Drama  Thriller
38,contemporary color,"Turner Ross, Bill Ross IV ",Turner Ross, Bill Ross IV (directors),unknown,Documentary  Music
39,logan,James Mangold , Hugh Jackman, Patrick Stewart, Boyd Holbrook,Action  Drama  Science Fiction
40,the shack,Stuart Hazeldine , Sam Worthington, Radha Mitchell, Octavia Spencer,Drama  Fantasy
41,before i fall,Ry Russo-Young , Zoey Deutch, Halston Sage, Logan Miller,Drama  Mystery  Thriller  Fantasy
42,table 19,Jeffrey Blitz , Anna Kendrick, Amanda Crew, Stephen Merchant,Comedy  Drama
43,the last word,Mark Pellington , Shirley MacLaine, Amanda Seyfried,unknown,Comedy  Drama
44,catfight,Onur Tukel , Alicia Silverstone, Anne Heche, Sandra Oh,Comedy  Drama
45,donald cried,Kristopher Avedisian , Kristopher Avedisian, Jesse Wakeman, Louisa Krause,Drama  Comedy
46,kong: skull island,Jordan Vogt-Roberts , Tom Hiddleston, Brie Larson, Samuel L. Jackson,Action  Adventure  Fantasy
47,burning sands,Gerard McMurray , Trevor Jackson, Alfre Woodard, Steve Harris,Drama
48,beauty and the beast,Bill Condon , Emma Watson, Dan Stevens, Luke Evans,Romance  Family  Animation  Fantasy
49,the belko experiment,Greg McLean , John Gallagher Jr., Tony Goldwyn, David Del Rio,Action  Thriller  Horror
50,song to song,Terrence Malick , Ryan Gosling, Michael Fassbender, Rooney Mara,Drama  Romance
51,atomica,Dagen Merrill , Dominic Monaghan, Tom Sizemore, Sarah Habel,Science Fiction  Thriller
52,all nighter,Gavin Wiesen , J. K. Simmons, Emile Hirsch, Analeigh Tipton,Comedy
53,the devil's candy,Sean Byrne , Ethan Embry, Shiri Appleby, Kiara Glasco,Drama  Horror  Thriller
54,power rangers,Dean Israelite , Dacre Montgomery, Naomi Scott, RJ Cyler,Action  Adventure  Science Fiction
55,life,Daniel Espinosa , Jake Gyllenhaal, Rebecca Ferguson, Ryan Reynolds,Thriller  Action  Crime
56,chips,Dax Shepard , Dax Shepard, Michael Peña, Vincent D'Onofrio,Action  Comedy  Crime
57,wilson,Craig Johnson , Woody Harrelson, Laura Dern, Isabella Amara,Comedy  Drama
58,victor,Brandon Dickerson , Patrick Davis, Nick Eversman, Cortney Palm,Drama  Science Fiction  Thriller
59,car dogs,Adam Collis , Patrick J. Adams, George Lopez, Nia Vardalos,Drama  Comedy
60,walk of fame,Jesse Thomas , Scott Eastwood, Malcolm McDowell, Chris Kattan,Comedy
61,the marine 5: battleground,James Nunn ," Mike ""The Miz"" Mizanin", Maryse Ouellet Mizanin, Curtis Axel,Action
62,ghost in the shell,Rupert Sanders , Scarlett Johansson, Takeshi Kitano, Michael Pitt,Science Fiction  Action
63,the boss baby,Tom McGrath , Alec Baldwin, Steve Buscemi, Jimmy Kimmel,Animation  Family  Comedy  Adventure  Fantasy
64,the zookeeper's wife,Niki Caro , Jessica Chastain, Daniel Brühl, Johan Heldenbergh,Drama  History
65,the blackcoat's daughter,Oz Perkins , Emma Roberts, Kiernan Shipka, Lucy Boynton,Horror  Thriller
66,the discovery,Charlie McDowell , Jason Segel, Rooney Mara, Robert Redford,Drama  Romance  Science Fiction  Thriller  Mystery
67,carrie pilby,Susan Johnson , Bel Powley, Vanessa Bayer, Colin O'Donoghue,Comedy  Drama
0,the case for christ,Jon Gunn , Mike Vogel, Erika Christensen, Robert Forster,Drama
1,smurfs: the lost village,Kelly Asbury , Demi Lovato, Mandy Patinkin, Jack McBrayer,Family  Adventure  Animation  Comedy
2,going in style,Zach Braff , Morgan Freeman, Michael Caine, Alan Arkin,Crime  Comedy
3,colossal,Nacho Vigalondo , Anne Hathaway, Jason Sudeikis, Dan Stevens,Drama  Fantasy  Science Fiction
4,gifted,Marc Webb , Chris Evans, Mckenna Grace, Jenny Slate,Drama  Family  Comedy
5,aftermath,Elliott Lester , Arnold Schwarzenegger, Scoot McNairy, Maggie Grace,Drama  Thriller
6,the fate of the furious,F. Gary Gray , Vin Diesel, Dwayne Johnson, Michelle Rodriguez,Action  Crime  Thriller
7,spark,Aaron Woodley , Jace Norman, Jessica Biel, Susan Sarandon,Adventure  Animation  Comedy  Family  Science Fiction
8,the lost city of z,James Gray , Charlie Hunnam, Robert Pattinson, Tom Holland,Adventure  Drama  History
9,my entire high school sinking into the sea,Dash Shaw , Jason Schwartzman, Reggie Watts, Lena Dunham,Animation  Comedy  Drama
10,the outcasts,Peter Hutchings , Victoria Justice, Eden Sher, Ashley Rickards,Comedy
11,born in china,Lu Chuan , John Krasinski, Zhou Xun (narrator),unknown,Documentary
12,unforgettable,Denise Di Novi , Katherine Heigl, Rosario Dawson, Geoff Stults,Drama  Thriller
13,the promise,Terry George , Oscar Isaac, Charlotte Le Bon, Christian Bale,History  Romance  Drama
14,the circle,James Ponsoldt , Tom Hanks, Emma Watson, John Boyega,Drama  Thriller  Science Fiction
15,how to be a latin lover,Ken Marino , Eugenio Derbez, Salma Hayek, Raphael Alejandro,Comedy
16,sleight,J. D. Dillard , Jacob Latimore, Seychelle Gabriel, Dulé Hill,Drama  Thriller  Action  Science Fiction
17,becoming bond,Josh Greenbaum , George Lazenby, Josh Lawson, Kassandra Clementi,Documentary  Comedy
18,guardians of the galaxy vol. 2,James Gunn , Chris Pratt, Zoe Saldana, Dave Bautista,Action
19,the lovers,Azazel Jacobs , Debra Winger, Tracy Letts, Aidan Gillen,Comedy
20,3 generations,Gaby Dellal , Naomi Watts, Elle Fanning, Susan Sarandon,Comedy  Drama
21,king arthur: legend of the sword,Guy Ritchie , Charlie Hunnam, Jude Law, Àstrid Bergès-Frisbey,Action  Drama  Fantasy
22,snatched,Jonathan Levine , Amy Schumer, Goldie Hawn, Christopher Meloni,Action  Comedy
23,lowriders,Ricardo de Montreuil , Demián Bichir, Gabriel Chavarria, Theo Rossi,Drama
24,the wall,Doug Liman , Aaron Taylor-Johnson, John Cena,unknown,Thriller  War  Drama
25,paris can wait,Eleanor Coppola , Diane Lane, Alec Baldwin, Arnaud Viard,Romance
26,alien: covenant,Ridley Scott , Michael Fassbender, Katherine Waterston, Demián Bichir,Horror  Science Fiction  Mystery
27,diary of a wimpy kid: the long haul,David Bowers , Jason Ian Drucker, Owen Asztalo, Charlie Wright,Comedy  Family
28,"everything, everything",Stella Meghie , Amandla Stenberg, Nick Robinson, Anika Noni Rose,Drama  Romance
29,wakefield,Robin Swicord , Bryan Cranston, Jennifer Garner, Victoria Bruno,Drama
30,baywatch,Seth Gordon , Dwayne Johnson, Zac Efron, Priyanka Chopra,Action  Comedy  Crime
31,pirates of the caribbean: dead men tell no tales,"Joachim Rønning, Espen Sandberg ", Johnny Depp, Javier Bardem, Geoffrey Rush,Adventure  Action  Fantasy  Comedy
32,buena vista social club: adios,Lucy Walker ,Lucy Walker (director),unknown,unknown,Documentary  Music
33,war machine,David Michôd , Michael Hastings (book); Brad Pitt, Anthony Michael Hall, Topher Grace,Comedy  Drama  War
34,wonder woman,Patty Jenkins , Gal Gadot, Chris Pine, Connie Nielsen,Fantasy  Action  Adventure
35,captain underpants: the first epic movie,David Soren , Kevin Hart, Ed Helms, Thomas Middleditch,Action  Animation  Comedy  Family
36,dean,Demetri Martin , Demetri Martin, Kevin Kline, Gillian Jacobs,Romance  Comedy
37,the mummy,Alex Kurtzman , Tom Cruise, Russell Crowe, Sofia Boutella,Fantasy  Thriller  Action  Adventure  Horror
38,it comes at night,Trey Edward Shults , Joel Edgerton, Riley Keough, Christopher Abbott,Drama  Horror  Mystery
39,my cousin rachel,Roger Michell , Rachel Weisz, Sam Claflin, Iain Glen,Drama  Romance
40,megan leavey,Gabriela Cowperthwaite , Kate Mara, Edie Falco, Common,Drama  War
41,beatriz at dinner,Miguel Arteta , Salma Hayek, Chloë Sevigny, Connie Britton,Comedy  Drama
42,cars 3,Brian Fee , Owen Wilson, Cristela Alonzo, Chris Cooper,Animation  Adventure  Comedy  Drama
43,rough night,Lucia Aniello , Scarlett Johansson, Zoë Kravitz, Kate McKinnon,Drama  Comedy
44,all eyez on me,Benny Boom , Demetrius Shipp Jr., Kat Graham, Lauren Cohan,Music  Drama
45,47 meters down,Johannes Roberts , Mandy Moore, Claire Holt, Matthew Modine,Horror  Drama  Thriller  Adventure
46,the book of henry,Colin Trevorrow , Naomi Watts, Jacob Tremblay, Jaeden Lieberher,Drama  Crime  Thriller
47,transformers: the last knight,Michael Bay , Mark Wahlberg, Josh Duhamel, Anthony Hopkins,Action  Adventure  Science Fiction  Fantasy
48,the beguiled,unknown, Colin Farrell, Nicole Kidman, Kirsten Dunst,Drama
49,the big sick,Michael Showalter , Kumail Nanjiani, Zoe Kazan, Holly Hunter,Comedy  Drama  Romance
50,the bad batch,Ana Lily Amirpour , Suki Waterhouse, Jason Momoa, Giovanni Ribisi,Drama  Horror  Science Fiction
51,baby driver,Edgar Wright , Ansel Elgort, Lily James, Jamie Foxx,Action  Crime
52,okja,Bong Joon-ho , Tilda Swinton, Paul Dano, Ahn Seo-hyun,Adventure  Drama  Science Fiction  Action
53,despicable me 3,"Pierre Coffin, Kyle Balda ", Steve Carell, Kristen Wiig, Trey Parker,Action  Animation  Comedy  Family  Adventure
54,the house,Andrew J. Cohen , Will Ferrell, Amy Poehler, Ryan Simpkins,Comedy
55,the little hours,Jeff Baena , Alison Brie, Dave Franco, Kate Micucci,Comedy
56,inconceivable,Jonathan Baker , Nicolas Cage, Faye Dunaway, Gina Gershon,Thriller  Drama
57,2:22,Paul Currie , Michiel Huisman, Teresa Palmer, Sam Reid,Drama  Thriller  Romance  Science Fiction  Mystery
0,a ghost story,David Lowery , Casey Affleck, Rooney Mara,unknown,Drama  Fantasy  Romance
1,spider-man: homecoming,Jon Watts , Tom Holland, Michael Keaton, Zendaya,Action  Adventure  Science Fiction  Drama
2,war for the planet of the apes,Matt Reeves , Andy Serkis, Gabriel Chavarria, Woody Harrelson,Drama  Science Fiction  War
3,wish upon,John Leonetti , Joey King, Ryan Phillippe, Ki Hong Lee,Adventure  Family  Fantasy
4,dunkirk,Christopher Nolan , Fionn Whitehead, Tom Hardy, Cillian Murphy,War  Action  Drama
5,girls trip,Malcolm D. Lee , Regina Hall, Queen Latifah, Jada Pinkett Smith,Comedy
6,first kill,Steven C. Miller , Hayden Christensen, Bruce Willis, Gethin Anthony,Action  Thriller  Crime
7,atomic blonde,David Leitch , Charlize Theron, James McAvoy, John Goodman,Action  Thriller
8,the emoji movie,Tony Leondis , T. J. Miller, James Corden, Anna Faris,Animation  Family  Comedy
9,an inconvenient sequel: truth to power,Bonni Cohen , Al Gore,unknown,unknown,Documentary
10,detroit,Kathryn Bigelow , John Boyega, Will Poulter, Algee Smith,Crime  Drama  Thriller  History
11,brigsby bear,Dave McCary , Kyle Mooney, Mark Hamill, Claire Danes,Comedy  Drama
12,menashe,Joshua Z. Weinstein , Menashe Lustig, Ruben Nidorski, Yoel Weisshaus,Drama
13,the dark tower,Nikolaj Arcel , Idris Elba, Matthew McConaughey, Tom Taylor,Fantasy  Action  Science Fiction  Adventure
14,kidnap,Luis Prieto , Halle Berry, Sage Correa, Lew Temple,Drama  Thriller
15,step,Amanda Lipitz , Blessin Giraldo, Cori Grainger, Tayla Solomon,Music  Drama  Romance  Crime
16,wind river,Taylor Sheridan , Jeremy Renner, Elizabeth Olsen, Jon Bernthal,Crime  Drama  Mystery  Thriller
17,armed response,John Stockwell , Wesley Snipes, Anne Heche, Dave Annable,Action  Horror  Thriller
18,annabelle: creation,David F. Sandberg , Stephanie Sigman, Talitha Bateman, Lulu Wilson,Horror  Mystery  Thriller
19,the glass castle,Destin Daniel Cretton , Brie Larson, Naomi Watts, Woody Harrelson,Drama
20,the nut job 2: nutty by nature,Cal Brunker , Will Arnett, Katherine Heigl, Maya Rudolph,Family  Animation  Adventure  Comedy
21,good time,Ben Safdie & Joshua Safdie , Robert Pattinson, Jennifer Jason Leigh, Ben Safdie,Crime  Drama  Thriller
